StudentID,Date,Month,AttendancePct
STU-0020,2026-01-29,Jan,74.0
STU-0020,2026-02-26,Feb,72.3
STU-0020,2026-03-26,Mar,67.3
STU-0020,2026-04-23,Apr,73.9
STU-0020,2026-05-21,May,71.8
STU-0020,2026-06-18,Jun,81.5
STU-0021,2026-01-01,Jan,86.1
STU-0021,2026-01-29,Jan,97.7
STU-0021,2026-02-26,Feb,87.9
STU-0021,2026-03-26,Mar,99.4
STU-0021,2026-04-23,Apr,86.5
STU-0021,2026-05-21,May,85.5
STU-0021,2026-06-18,Jun,96.2
STU-0022,2026-01-01,Jan,69.5
STU-0022,2026-01-29,Jan,66.4
STU-0022,2026-02-26,Feb,77.9
STU-0022,2026-03-26,Mar,61.7
STU-0022,2026-04-23,Apr,73.9
STU-0022,2026-05-21,May,64.1
STU-0022,2026-06-18,Jun,78.2
STU-0023,2026-01-01,Jan,95.1
STU-0023,2026-01-29,Jan,79.5
STU-0023,2026-02-26,Feb,96.1
STU-0023,2026-03-26,Mar,85.5
STU-0023,2026-04-23,Apr,80.9
STU-0023,2026-05-21,May,91.2
STU-0023,2026-06-18,Jun,82.1
STU-0024,2026-01-01,Jan,87.0
STU-0024,2026-01-29,Jan,79.2
STU-0024,2026-02-26,Feb,91.6
STU-0024,2026-03-26,Mar,89.1
STU-0024,2026-04-23,Apr,78.8
STU-0024,2026-05-21,May,79.6
STU-0024,2026-06-18,Jun,88.1
STU-0025,2026-01-01,Jan,74.0
STU-0025,2026-01-29,Jan,88.2
STU-0025,2026-02-26,Feb,83.8
STU-0025,2026-03-26,Mar,75.6
STU-0025,2026-04-23,Apr,75.9
STU-0025,2026-05-21,May,84.0
STU-0025,2026-06-18,Jun,83.4
STU-0026,2026-01-01,Jan,48.2
STU-0026,2026-01-29,Jan,56.7
STU-0026,2026-02-26,Feb,56.5
STU-0026,2026-03-26,Mar,61.5
STU-0026,2026-04-23,Apr,53.0
STU-0026,2026-05-21,May,62.0
STU-0026,2026-06-18,Jun,61.1
STU-0027,2026-01-01,Jan,69.8
STU-0027,2026-01-29,Jan,74.1
STU-0027,2026-02-26,Feb,69.2
STU-0027,2026-03-26,Mar,75.3
STU-0027,2026-04-23,Apr,82.3
STU-0027,2026-05-21,May,80.7
STU-0027,2026-06-18,Jun,84.1
STU-0028,2026-01-01,Jan,75.7
STU-0028,2026-01-29,Jan,86.4
STU-0028,2026-02-26,Feb,74.2
STU-0028,2026-03-26,Mar,87.0
STU-0028,2026-04-23,Apr,88.2
STU-0028,2026-05-21,May,89.2
STU-0028,2026-06-18,Jun,88.0
STU-0029,2026-01-01,Jan,96.7
STU-0029,2026-01-29,Jan,96.3
STU-0029,2026-02-26,Feb,97.1
STU-0029,2026-03-26,Mar,89.5
STU-0029,2026-04-23,Apr,100
STU-0029,2026-05-21,May,100
STU-0029,2026-06-18,Jun,94.7
STU-0030,2026-01-01,Jan,92.8
STU-0030,2026-01-29,Jan,86.7
STU-0030,2026-02-26,Feb,96.1
STU-0030,2026-03-26,Mar,92.3
STU-0030,2026-04-23,Apr,80.5
STU-0030,2026-05-21,May,93.9
STU-0030,2026-06-18,Jun,81.3
STU-0031,2026-01-01,Jan,56.7
STU-0031,2026-01-29,Jan,53.7
STU-0031,2026-02-26,Feb,70.6
STU-0031,2026-03-26,Mar,61.4
STU-0031,2026-04-23,Apr,68.5
STU-0031,2026-05-21,May,69.9
STU-0031,2026-06-18,Jun,64.8
STU-0032,2026-01-01,Jan,46.3
STU-0032,2026-01-29,Jan,38.6
STU-0032,2026-02-26,Feb,48.1
STU-0032,2026-03-26,Mar,40.9
STU-0032,2026-04-23,Apr,56.4
STU-0032,2026-05-21,May,48.0
STU-0032,2026-06-18,Jun,51.7
STU-0033,2026-01-01,Jan,71.9
STU-0033,2026-01-29,Jan,73.6
STU-0033,2026-02-26,Feb,71.0
STU-0033,2026-03-26,Mar,73.7
STU-0033,2026-04-23,Apr,75.8
STU-0033,2026-05-21,May,69.6
STU-0033,2026-06-18,Jun,70.5
STU-0034,2026-01-01,Jan,60.5
STU-0034,2026-01-29,Jan,68.8
STU-0034,2026-02-26,Feb,78.4
STU-0034,2026-03-26,Mar,64.3
STU-0034,2026-04-23,Apr,74.6
STU-0034,2026-05-21,May,66.8
STU-0034,2026-06-18,Jun,64.5
STU-0035,2026-01-01,Jan,77.0
STU-0035,2026-01-29,Jan,73.2
STU-0035,2026-02-26,Feb,74.4
STU-0035,2026-03-26,Mar,85.7
STU-0035,2026-04-23,Apr,86.8
STU-0035,2026-05-21,May,71.7
STU-0035,2026-06-18,Jun,87.4
STU-0036,2026-01-01,Jan,76.9
STU-0036,2026-01-29,Jan,88.0
STU-0036,2026-02-26,Feb,83.5
STU-0036,2026-03-26,Mar,92.8
STU-0036,2026-04-23,Apr,76.5
STU-0036,2026-05-21,May,86.9
STU-0036,2026-06-18,Jun,92.1
STU-0037,2026-01-01,Jan,88.2
STU-0037,2026-01-29,Jan,88.7
STU-0037,2026-02-26,Feb,100
STU-0037,2026-03-26,Mar,98.6
STU-0037,2026-04-23,Apr,94.4
STU-0037,2026-05-21,May,100
STU-0037,2026-06-18,Jun,92.6
STU-0038,2026-01-01,Jan,63.0
STU-0038,2026-01-29,Jan,62.4
STU-0038,2026-02-26,Feb,61.6
STU-0038,2026-03-26,Mar,49.5
STU-0038,2026-04-23,Apr,58.1
STU-0038,2026-05-21,May,44.3
STU-0038,2026-06-18,Jun,57.5
STU-0039,2026-01-01,Jan,71.5
STU-0039,2026-01-29,Jan,71.9
STU-0039,2026-02-26,Feb,67.3
STU-0039,2026-03-26,Mar,72.7
STU-0039,2026-04-23,Apr,74.5
STU-0039,2026-05-21,May,68.5
STU-0039,2026-06-18,Jun,69.9
STU-0040,2026-01-01,Jan,54.8
STU-0040,2026-01-29,Jan,55.2
STU-0040,2026-02-26,Feb,64.4
STU-0040,2026-03-26,Mar,61.9
STU-0040,2026-04-23,Apr,59.6
STU-0040,2026-05-21,May,64.4
STU-0040,2026-06-18,Jun,59.1
STU-0041,2026-01-01,Jan,74.3
STU-0041,2026-01-29,Jan,86.7
STU-0041,2026-02-26,Feb,89.8
STU-0041,2026-03-26,Mar,74.6
STU-0041,2026-04-23,Apr,88.8
STU-0041,2026-05-21,May,72.9
STU-0041,2026-06-18,Jun,74.4
STU-0042,2026-01-01,Jan,82.3
STU-0042,2026-01-29,Jan,83.6
STU-0042,2026-02-26,Feb,88.7
STU-0042,2026-03-26,Mar,79.1
STU-0042,2026-04-23,Apr,87.6
STU-0042,2026-05-21,May,88.1
STU-0042,2026-06-18,Jun,91.8
STU-0043,2026-01-01,Jan,64.2
STU-0043,2026-01-29,Jan,73.2
STU-0043,2026-02-26,Feb,79.5
STU-0043,2026-03-26,Mar,75.3
STU-0043,2026-04-23,Apr,77.3
STU-0043,2026-05-21,May,77.7
STU-0043,2026-06-18,Jun,75.2
STU-0044,2026-01-01,Jan,82.6
STU-0044,2026-01-29,Jan,98.1
STU-0044,2026-02-26,Feb,81.5
STU-0044,2026-03-26,Mar,96.1
STU-0044,2026-04-23,Apr,79.7
STU-0044,2026-05-21,May,87.2
STU-0044,2026-06-18,Jun,91.5
STU-0045,2026-01-01,Jan,58.0
STU-0045,2026-01-29,Jan,59.7
STU-0045,2026-02-26,Feb,62.7
STU-0045,2026-03-26,Mar,63.2
STU-0045,2026-04-23,Apr,63.6
STU-0045,2026-05-21,May,70.1
STU-0045,2026-06-18,Jun,75.5
STU-0046,2026-01-01,Jan,86.6
STU-0046,2026-01-29,Jan,79.1
STU-0046,2026-02-26,Feb,84.9
STU-0046,2026-03-26,Mar,79.9
STU-0046,2026-04-23,Apr,83.9
STU-0046,2026-05-21,May,86.6
STU-0046,2026-06-18,Jun,81.8
STU-0047,2026-01-01,Jan,73.0
STU-0047,2026-01-29,Jan,88.2
STU-0047,2026-02-26,Feb,78.1
STU-0047,2026-03-26,Mar,77.6
STU-0047,2026-04-23,Apr,84.0
STU-0047,2026-05-21,May,87.8
STU-0047,2026-06-18,Jun,79.4
STU-0048,2026-01-01,Jan,41.5
STU-0048,2026-01-29,Jan,40.6
STU-0048,2026-02-26,Feb,45.3
STU-0048,2026-03-26,Mar,60.5
STU-0048,2026-04-23,Apr,52.0
STU-0048,2026-05-21,May,58.5
STU-0048,2026-06-18,Jun,51.8
STU-0049,2026-01-01,Jan,81.9
STU-0049,2026-01-29,Jan,93.4
STU-0049,2026-02-26,Feb,85.1
STU-0049,2026-03-26,Mar,78.9
STU-0049,2026-04-23,Apr,83.5
STU-0049,2026-05-21,May,80.4
STU-0049,2026-06-18,Jun,87.6
STU-0050,2026-01-01,Jan,65.6
STU-0050,2026-01-29,Jan,63.7
STU-0050,2026-02-26,Feb,60.6
STU-0050,2026-03-26,Mar,60.1
STU-0050,2026-04-23,Apr,49.6
STU-0050,2026-05-21,May,61.4
STU-0050,2026-06-18,Jun,57.4
STU-0051,2026-01-01,Jan,78.4
STU-0051,2026-01-29,Jan,86.6
STU-0051,2026-02-26,Feb,77.1
STU-0051,2026-03-26,Mar,84.9
STU-0051,2026-04-23,Apr,78.6
STU-0051,2026-05-21,May,84.0
STU-0051,2026-06-18,Jun,77.3
STU-0052,2026-01-01,Jan,95.3
STU-0052,2026-01-29,Jan,87.9
STU-0052,2026-02-26,Feb,85.1
STU-0052,2026-03-26,Mar,89.8
STU-0052,2026-04-23,Apr,91.8
STU-0052,2026-05-21,May,91.2
STU-0052,2026-06-18,Jun,85.8
STU-0053,2026-01-01,Jan,42.3
STU-0053,2026-01-29,Jan,51.8
STU-0053,2026-02-26,Feb,44.9
STU-0053,2026-03-26,Mar,39.7
STU-0053,2026-04-23,Apr,39.3
STU-0053,2026-05-21,May,40.9
STU-0053,2026-06-18,Jun,40.2
STU-0054,2026-01-01,Jan,99.5
STU-0054,2026-01-29,Jan,95.5
STU-0054,2026-02-26,Feb,87.9
STU-0054,2026-03-26,Mar,88.8
STU-0054,2026-04-23,Apr,98.0
STU-0054,2026-05-21,May,97.4
STU-0054,2026-06-18,Jun,92.3
STU-0055,2026-01-01,Jan,73.7
STU-0055,2026-01-29,Jan,80.8
STU-0055,2026-02-26,Feb,80.5
STU-0055,2026-03-26,Mar,90.3
STU-0055,2026-04-23,Apr,81.6
STU-0055,2026-05-21,May,82.8
STU-0055,2026-06-18,Jun,86.3
STU-0056,2026-01-01,Jan,48.6
STU-0056,2026-01-29,Jan,45.9
STU-0056,2026-02-26,Feb,62.7
STU-0056,2026-03-26,Mar,56.4
STU-0056,2026-04-23,Apr,49.1
STU-0056,2026-05-21,May,56.5
STU-0056,2026-06-18,Jun,49.3
STU-0057,2026-01-01,Jan,90.6
STU-0057,2026-01-29,Jan,89.8
STU-0057,2026-02-26,Feb,93.7
STU-0057,2026-03-26,Mar,97.7
STU-0057,2026-04-23,Apr,100
STU-0057,2026-05-21,May,99.3
STU-0057,2026-06-18,Jun,85.0
STU-0058,2026-01-01,Jan,98.0
STU-0058,2026-01-29,Jan,85.4
STU-0058,2026-02-26,Feb,85.0
STU-0058,2026-03-26,Mar,99.6
STU-0058,2026-04-23,Apr,84.7
STU-0058,2026-05-21,May,89.4
STU-0058,2026-06-18,Jun,97.4
STU-0059,2026-01-01,Jan,65.6
STU-0059,2026-01-29,Jan,70.4
STU-0059,2026-02-26,Feb,69.0
STU-0059,2026-03-26,Mar,57.0
STU-0059,2026-04-23,Apr,75.2
STU-0059,2026-05-21,May,57.5
STU-0059,2026-06-18,Jun,72.2
STU-0060,2026-01-01,Jan,87.0
STU-0060,2026-01-29,Jan,88.1
STU-0060,2026-02-26,Feb,97.6
STU-0060,2026-03-26,Mar,92.1
STU-0060,2026-04-23,Apr,80.7
STU-0060,2026-05-21,May,94.6
STU-0060,2026-06-18,Jun,91.1
STU-0061,2026-01-01,Jan,79.7
STU-0061,2026-01-29,Jan,68.1
STU-0061,2026-02-26,Feb,82.1
STU-0061,2026-03-26,Mar,70.9
STU-0061,2026-04-23,Apr,79.8
STU-0061,2026-05-21,May,75.2
STU-0061,2026-06-18,Jun,62.9
STU-0062,2026-01-01,Jan,67.7
STU-0062,2026-01-29,Jan,69.1
STU-0062,2026-02-26,Feb,66.1
STU-0062,2026-03-26,Mar,74.5
STU-0062,2026-04-23,Apr,70.6
STU-0062,2026-05-21,May,78.9
STU-0062,2026-06-18,Jun,70.9
STU-0063,2026-01-01,Jan,59.7
STU-0063,2026-01-29,Jan,60.8
STU-0063,2026-02-26,Feb,56.9
STU-0063,2026-03-26,Mar,53.5
STU-0063,2026-04-23,Apr,54.4
STU-0063,2026-05-21,May,56.6
STU-0063,2026-06-18,Jun,50.8
STU-0064,2026-01-01,Jan,76.0
STU-0064,2026-01-29,Jan,78.5
STU-0064,2026-02-26,Feb,86.5
STU-0064,2026-03-26,Mar,77.3
STU-0064,2026-04-23,Apr,72.0
STU-0064,2026-05-21,May,83.9
STU-0064,2026-06-18,Jun,77.5
STU-0065,2026-01-01,Jan,85.3
STU-0065,2026-01-29,Jan,94.2
STU-0065,2026-02-26,Feb,93.3
STU-0065,2026-03-26,Mar,94.2
STU-0065,2026-04-23,Apr,88.4
STU-0065,2026-05-21,May,84.9
STU-0065,2026-06-18,Jun,99.7
STU-0066,2026-01-01,Jan,52.1
STU-0066,2026-01-29,Jan,67.7
STU-0066,2026-02-26,Feb,62.5
STU-0066,2026-03-26,Mar,57.5
STU-0066,2026-04-23,Apr,53.1
STU-0066,2026-05-21,May,58.3
STU-0066,2026-06-18,Jun,57.2
STU-0067,2026-01-01,Jan,47.0
STU-0067,2026-01-29,Jan,44.6
STU-0067,2026-02-26,Feb,62.0
STU-0067,2026-03-26,Mar,46.5
STU-0067,2026-04-23,Apr,44.9
STU-0067,2026-05-21,May,49.8
STU-0067,2026-06-18,Jun,46.7
STU-0068,2026-01-01,Jan,87.0
STU-0068,2026-01-29,Jan,72.0
STU-0068,2026-02-26,Feb,81.1
STU-0068,2026-03-26,Mar,88.0
STU-0068,2026-04-23,Apr,82.1
STU-0068,2026-05-21,May,74.6
STU-0068,2026-06-18,Jun,88.5
STU-0069,2026-01-01,Jan,99.5
STU-0069,2026-01-29,Jan,99.5
STU-0069,2026-02-26,Feb,91.1
STU-0069,2026-03-26,Mar,92.4
STU-0069,2026-04-23,Apr,85.7
STU-0069,2026-05-21,May,89.9
STU-0069,2026-06-18,Jun,100
STU-0070,2026-01-01,Jan,66.2
STU-0070,2026-01-29,Jan,83.3
STU-0070,2026-02-26,Feb,69.1
STU-0070,2026-03-26,Mar,76.7
STU-0070,2026-04-23,Apr,64.5
STU-0070,2026-05-21,May,78.0
STU-0070,2026-06-18,Jun,70.3
STU-0071,2026-01-01,Jan,100
STU-0071,2026-01-29,Jan,90.9
STU-0071,2026-02-26,Feb,87.8
STU-0071,2026-03-26,Mar,84.8
STU-0071,2026-04-23,Apr,100
STU-0071,2026-05-21,May,86.7
STU-0071,2026-06-18,Jun,83.3
STU-0072,2026-01-01,Jan,45.3
STU-0072,2026-01-29,Jan,52.5
STU-0072,2026-02-26,Feb,42.2
STU-0072,2026-03-26,Mar,41.3
STU-0072,2026-04-23,Apr,51.8
STU-0072,2026-05-21,May,44.3
STU-0072,2026-06-18,Jun,46.1
STU-0073,2026-01-01,Jan,50.2
STU-0073,2026-01-29,Jan,68.1
STU-0073,2026-02-26,Feb,57.0
STU-0073,2026-03-26,Mar,53.4
STU-0073,2026-04-23,Apr,52.7
STU-0073,2026-05-21,May,67.8
STU-0073,2026-06-18,Jun,52.3
STU-0074,2026-01-01,Jan,89.5
STU-0074,2026-01-29,Jan,78.1
STU-0074,2026-02-26,Feb,89.0
STU-0074,2026-03-26,Mar,80.0
STU-0074,2026-04-23,Apr,94.7
STU-0074,2026-05-21,May,84.4
STU-0074,2026-06-18,Jun,76.8
STU-0075,2026-01-01,Jan,64.6
STU-0075,2026-01-29,Jan,64.2
STU-0075,2026-02-26,Feb,69.4
STU-0075,2026-03-26,Mar,69.2
STU-0075,2026-04-23,Apr,78.1
STU-0075,2026-05-21,May,71.8
STU-0075,2026-06-18,Jun,76.4
STU-0076,2026-01-01,Jan,100
STU-0076,2026-01-29,Jan,91.9
STU-0076,2026-02-26,Feb,100
STU-0076,2026-03-26,Mar,99.6
STU-0076,2026-04-23,Apr,100
STU-0076,2026-05-21,May,89.3
STU-0076,2026-06-18,Jun,96.9
STU-0077,2026-01-01,Jan,74.5
STU-0077,2026-01-29,Jan,89.2
STU-0077,2026-02-26,Feb,75.2
STU-0077,2026-03-26,Mar,74.8
STU-0077,2026-04-23,Apr,89.2
STU-0077,2026-05-21,May,81.3
STU-0077,2026-06-18,Jun,86.5
STU-0078,2026-01-01,Jan,76.5
STU-0078,2026-01-29,Jan,76.7
STU-0078,2026-02-26,Feb,88.5
STU-0078,2026-03-26,Mar,86.8
STU-0078,2026-04-23,Apr,88.7
STU-0078,2026-05-21,May,81.6
STU-0078,2026-06-18,Jun,72.8
STU-0079,2026-01-01,Jan,49.5
STU-0079,2026-01-29,Jan,41.7
STU-0079,2026-02-26,Feb,48.6
STU-0079,2026-03-26,Mar,47.9
STU-0079,2026-04-23,Apr,55.1
STU-0079,2026-05-21,May,47.5
STU-0079,2026-06-18,Jun,60.3
STU-0080,2026-01-01,Jan,76.3
STU-0080,2026-01-29,Jan,83.2
STU-0080,2026-02-26,Feb,70.3
STU-0080,2026-03-26,Mar,81.0
STU-0080,2026-04-23,Apr,77.6
STU-0080,2026-05-21,May,76.0
STU-0080,2026-06-18,Jun,76.5
